Time [s],Channel 0
0.698077667,0
0.698673833,1
0.698676083,0
0.699272333,1
0.699274500,0
0.699970167,1
0.699972417,0
0.700568333,1
0.700570500,0
0.701166500,1
0.701168750,0
0.701764750,1
0.701767000,0
0.702462833,1
0.702465083,0
0.703061333,1
0.703063500,0
0.703659750,1
0.703662000,0
0.704258250,1
0.704260500,0
0.704956667,1
0.704958917,0
0.705555167,1
0.705557417,0
0.706153500,1
0.706155750,0
0.706752083,1
0.706754333,0
0.707350833,1
0.707353083,0
0.708049333,1
0.708051500,0
0.708648167,1
0.708650417,0
0.709246667,1
0.709248917,0
0.709845333,1
0.709847583,0
0.710444167,1
0.710446333,0
0.711042750,1
0.711045000,0
0.711741167,1
0.711743417,0
0.712339917,1
0.712342167,0
0.712938500,1
0.712940750,0
0.713537167,1
0.713539417,0
0.714135750,1
0.714137917,0
0.714734167,1
0.714736417,0
0.715332750,1
0.715335000,0
0.715931667,1
0.715933833,0
0.716630167,1
0.716632333,0
0.717228917,1
0.717231083,0
0.717827417,1
0.717829667,0
0.718426083,1
0.718428333,0
0.719024667,1
0.719026917,0
0.719623417,1
0.719625667,0
0.720222250,1
0.720224500,0
0.720820750,1
0.720823000,0
0.721419500,1
0.721421750,0
0.722018167,1
0.722020417,0
0.722616750,1
0.722619000,0
0.723315083,1
0.723317333,0
0.723913667,1
0.723915833,0
0.724512333,1
0.724514500,0
0.725110917,1
0.725113167,0
0.725709583,1
0.725711833,0
0.726308083,1
0.726310333,0
0.726906833,1
0.726909083,0
0.727505417,1
0.727507667,0
0.728104083,1
0.728106333,0
0.728702917,1
0.728705167,0
0.729301750,1
0.729304000,0
0.729900833,1
0.729903083,0
0.730499917,1
0.730502167,0
0.731099083,1
0.731101333,0
0.731698167,1
0.731700417,0
0.732297167,1
0.732299417,0
0.732896083,1
0.732898333,0
0.733495167,1
0.733497417,0
0.734094083,1
0.734096333,0
0.734692917,1
0.734695167,0
0.735291750,1
0.735294000,0
0.735890417,1
0.735892667,0
0.736489250,1
0.736491417,0
0.737088167,1
0.737090417,0
0.737587167,1
0.737589333,0
0.738185833,1
0.738188083,0
0.738784583,1
0.738786833,0
0.739383167,1
0.739385417,0
0.739981750,1
0.739984000,0
0.740580250,1
0.740582500,0
0.741178833,1
0.741181083,0
0.741777500,1
0.741779750,0
0.742376167,1
0.742378417,0
0.742974833,1
0.742977000,0
0.743573333,1
0.743575583,0
0.744171667,1
0.744173917,0
0.744670333,1
0.744672583,0
0.745268667,1
0.745270917,0
0.745867000,1
0.745869250,0
0.746465583,1
0.746467833,0
0.747064000,1
0.747066250,0
0.747662500,1
0.747664750,0
0.748261083,1
0.748263333,0
0.748760000,1
0.748762250,0
0.749358917,1
0.749361167,0
0.749957667,1
0.749959917,0
0.750556167,1
0.750558417,0
0.751154833,1
0.751157083,0
0.751753750,1
0.751756000,0
0.752252667,1
0.752254917,0
0.752851500,1
0.752853750,0
0.753450417,1
0.753452667,0
0.754048917,1
0.754051167,0
0.754647500,1
0.754649750,0
0.755246250,1
0.755248500,0
0.755745167,1
0.755747417,0
0.756343750,1
0.756345917,0
0.756942167,1
0.756944417,0
0.757541000,1
0.757543250,0
0.758040000,1
0.758042167,0
0.758638500,1
0.758640750,0
0.759237250,1
0.759239500,0
0.759835667,1
0.759837917,0
0.760434083,1
0.760436333,0
0.760932917,1
0.760935167,0
0.761531750,1
0.761533917,0
0.762130667,1
0.762132917,0
0.762729833,1
0.762732083,0
0.763229250,1
0.763231500,0
0.763828500,1
0.763830750,0
0.764427500,1
0.764429750,0
0.765026167,1
0.765028417,0
0.765525167,1
0.765527417,0
0.766123833,1
0.766126083,0
0.766722500,1
0.766724750,0
0.767221333,1
0.767223500,0
0.767819917,1
0.767822167,0
0.768418500,1
0.768420750,0
0.769017167,1
0.769019417,0
0.769516167,1
0.769518417,0
0.770114833,1
0.770117083,0
0.770713500,1
0.770715750,0
0.771212333,1
0.771214500,0
0.771811083,1
0.771813333,0
0.772409750,1
0.772412000,0
0.772908583,1
0.772910833,0
0.773507167,1
0.773509417,0
0.774105917,1
0.774108167,0
0.774604917,1
0.774607167,0
0.775203667,1
0.775205917,0
0.775802333,1
0.775804583,0
0.776301333,1
0.776303583,0
0.776900000,1
0.776902250,0
0.777398917,1
0.777401167,0
0.777997833,1
0.778000083,0
0.778596917,1
0.778599083,0
0.779095917,1
0.779098167,0
0.779694917,1
0.779697167,0
0.780293667,1
0.780295917,0
0.780792583,1
0.780794833,0
0.781391333,1
0.781393583,0
0.781890167,1
0.781892417,0
0.782488833,1
0.782491083,0
0.783087667,1
0.783089917,0
0.783586750,1
0.783589000,0
0.784185667,1
0.784187917,0
0.784684750,1
0.784687000,0
0.785283750,1
0.785286000,0
0.785882500,1
0.785884750,0
0.786381500,1
0.786383750,0
0.786980250,1
0.786982500,0
0.787479333,1
0.787481583,0
0.788078167,1
0.788080333,0
0.788577000,1
0.788579250,0
0.789175583,1
0.789177833,0
0.789674583,1
0.789676750,0
0.790273417,1
0.790275583,0
0.790872167,1
0.790874417,0
0.791371000,1
0.791373250,0
0.791969583,1
0.791971750,0
0.792468500,1
0.792470667,0
0.793067083,1
0.793069333,0
0.793565750,1
0.793568000,0
0.794164333,1
0.794166583,0
0.794663000,1
0.794665250,0
0.795261833,1
0.795264000,0
0.795760833,1
0.795763083,0
0.796359750,1
0.796362000,0
0.796858583,1
0.796860833,0
0.797457333,1
0.797459583,0
0.797956417,1
0.797958667,0
0.798555333,1
0.798557583,0
0.799054250,1
0.799056500,0
0.799653167,1
0.799655417,0
0.800152500,1
0.800154750,0
0.800751417,1
0.800753667,0
0.801250667,1
0.801252917,0
0.801849417,1
0.801851667,0
0.802348500,1
0.802350750,0
0.802947583,1
0.802949833,0
0.803446750,1
0.803448917,0
0.803946000,1
0.803948167,0
0.804545167,1
0.804547333,0
0.805044333,1
0.805046583,0
0.805643500,1
0.805645750,0
0.806142750,1
0.806145000,0
0.806741833,1
0.806744083,0
0.807241083,1
0.807243333,0
0.807740250,1
0.807742500,0
0.808339500,1
0.808341750,0
0.808838917,1
0.808841167,0
0.809438167,1
0.809440417,0
0.809937500,1
0.809939750,0
0.810536583,1
0.810538833,0
0.811035833,1
0.811038000,0
0.811534917,1
0.811537167,0
0.812133833,1
0.812136083,0
0.812633000,1
0.812635250,0
0.813232083,1
0.813234333,0
0.813731167,1
0.813733417,0
0.814230500,1
0.814232750,0
0.814829583,1
0.814831833,0
0.815328917,1
0.815331167,0
0.815828083,1
0.815830333,0
0.816426833,1
0.816429000,0
0.816925667,1
0.816927917,0
0.817524167,1
0.817526417,0
0.818022917,1
0.818025167,0
0.818521750,1
0.818523917,0
0.819120250,1
0.819122500,0
0.819619167,1
0.819621417,0
0.820118083,1
0.820120250,0
0.820716583,1
0.820718833,0
0.821215500,1
0.821217750,0
0.821714167,1
0.821716333,0
0.822312667,1
0.822314917,0
0.822811500,1
0.822813750,0
0.823310083,1
0.823312333,0
0.823908583,1
0.823910833,0
0.824407500,1
0.824409750,0
0.824906250,1
0.824908500,0
0.825504750,1
0.825507000,0
0.826003417,1
0.826005667,0
0.826502083,1
0.826504333,0
0.827000667,1
0.827002833,0
0.827599000,1
0.827601250,0
0.828097667,1
0.828099917,0
0.828596500,1
0.828598667,0
0.829195000,1
0.829197250,0
0.829693667,1
0.829695917,0
0.830192500,1
0.830194750,0
0.830691250,1
0.830693500,0
0.831290000,1
0.831292250,0
0.831789167,1
0.831791417,0
0.832288167,1
0.832290417,0
0.832887000,1
0.832889250,0
0.833385917,1
0.833388167,0
0.833884917,1
0.833887083,0
0.834383750,1
0.834385917,0
0.834982667,1
0.834984917,0
0.835481750,1
0.835484000,0
0.835980917,1
0.835983167,0
0.836480083,1
0.836482333,0
0.836979417,1
0.836981667,0
0.837578500,1
0.837580667,0
0.838077583,1
0.838079833,0
0.838576917,1
0.838579167,0
0.839076167,1
0.839078417,0
0.839674917,1
0.839677167,0
0.840174000,1
0.840176250,0
0.840672917,1
0.840675167,0
0.841171750,1
0.841174000,0
0.841670667,1
0.841672917,0
0.842269250,1
0.842271417,0
0.842768000,1
0.842770167,0
0.843266667,1
0.843268917,0
0.843765250,1
0.843767500,0
0.844263917,1
0.844266167,0
0.844862417,1
0.844864667,0
0.845361250,1
0.845363500,0
0.845859917,1
0.845862167,0
0.846358667,1
0.846360833,0
0.846857500,1
0.846859750,0
0.847456083,1
0.847458333,0
0.847954833,1
0.847957000,0
0.848453500,1
0.848455750,0
0.848952333,1
0.848954583,0
0.849451083,1
0.849453333,0
0.849949833,1
0.849952083,0
0.850448500,1
0.850450750,0
0.851047000,1
0.851049250,0
0.851545500,1
0.851547750,0
0.852043917,1
0.852046167,0
0.852542417,1
0.852544667,0
0.853040833,1
0.853043083,0
0.853539333,1
0.853541583,0
0.854037917,1
0.854040167,0
0.854636583,1
0.854638750,0
0.855135417,1
0.855137667,0
0.855634167,1
0.855636417,0
0.856133167,1
0.856135417,0
0.856632000,1
0.856634250,0
0.857131083,1
0.857133333,0
0.857630000,1
0.857632250,0
0.858129083,1
0.858131250,0
0.858727417,1
0.858729667,0
0.859226000,1
0.859228250,0
0.859724833,1
0.859727083,0
0.860223667,1
0.860225917,0
0.860722500,1
0.860724750,0
0.861221417,1
0.861223667,0
0.861720333,1
0.861722583,0
0.862219250,1
0.862221500,0
0.862718167,1
0.862720417,0
0.863217167,1
0.863219417,0
0.863716250,1
0.863718500,0
0.864215333,1
0.864217583,0
0.864814250,1
0.864816417,0
0.865313167,1
0.865315417,0
0.865812167,1
0.865814417,0
0.866311000,1
0.866313167,0
0.866809917,1
0.866812167,0
0.867308750,1
0.867311000,0
0.867807750,1
0.867810000,0
0.868306583,1
0.868308833,0
0.868805417,1
0.868807583,0
0.869304333,1
0.869306583,0
0.869803333,1
0.869805583,0
0.870302333,1
0.870304583,0
0.870801333,1
0.870803583,0
0.871300333,1
0.871302583,0
0.871799333,1
0.871801583,0
0.872298417,1
0.872300583,0
0.872797250,1
0.872799500,0
0.873296250,1
0.873298417,0
0.873795250,1
0.873797500,0
0.874294250,1
0.874296417,0
0.874793083,1
0.874795333,0
0.875292000,1
0.875294250,0
0.875790917,1
0.875793167,0
0.876289917,1
0.876292167,0
0.876788833,1
0.876791083,0
0.877287833,1
0.877290083,0
0.877786750,1
0.877789000,0
0.878285667,1
0.878287833,0
0.878784500,1
0.878786750,0
0.879283250,1
0.879285500,0
0.879782083,1
0.879784333,0
0.880280750,1
0.880283000,0
0.880779500,1
0.880781750,0
0.881278417,1
0.881280667,0
0.881777333,1
0.881779583,0
0.882276167,1
0.882278333,0
0.882775083,1
0.882777250,0
0.883274000,1
0.883276167,0
0.883772833,1
0.883775083,0
0.884271750,1
0.884273917,0
0.884770333,1
0.884772583,0
0.885269000,1
0.885271250,0
0.885767667,1
0.885769917,0
0.886266250,1
0.886268500,0
0.886764583,1
0.886766833,0
0.887263167,1
0.887265333,0
0.887761833,1
0.887764083,0
0.888160750,1
0.888163000,0
0.888659583,1
0.888661750,0
0.889158417,1
0.889160583,0
0.889657250,1
0.889659417,0
0.890156000,1
0.890158250,0
0.890654750,1
0.890657000,0
0.891153417,1
0.891155667,0
0.891652167,1
0.891654333,0
0.892150750,1
0.892153000,0
0.892649500,1
0.892651667,0
0.893148083,1
0.893150333,0
0.893646750,1
0.893648917,0
0.894045750,1
0.894048000,0
0.894544333,1
0.894546583,0
